date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:38	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Sep%202024%2018:20:35%20GMT	https://yt-portfolio-website-3.vercel.app/robots.txt		(from )
11:20:38	9094/9094	---MCZ	200	added ('OK')	text/html	etag:W/%22d540bcd6c489527d58d6bf3f82c44d83%22	https://yt-portfolio-website-3.vercel.app/	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/index.html	(from )
11:20:39	68028/68028	---MCZ	200	added ('OK')	text/css	etag:W/%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	C:/My%20Web%20Sites/nino/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://yt-portfolio-website-3.vercel.app/)
11:20:39	11851/11851	---MCZ	200	added ('OK')	text/css	etag:W/%22038239a96cfdbab4abb8e1b05269359d%22	https://yt-portfolio-website-3.vercel.app/style.css	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/style.css	(from https://yt-portfolio-website-3.vercel.app/)
11:20:40	380826/380826	---M--	200	added ('OK')	image/jpeg	etag:%221a304b865991e245141908c8eefb10a4%22	https://yt-portfolio-website-3.vercel.app/assets/ProfileImage1.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/ProfileImage1.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:40	561005/561005	---M--	200	added ('OK')	image/jpeg	etag:%223c766d6feaba1f1394dd4e274904f5e8%22	https://yt-portfolio-website-3.vercel.app/assets/ProfileImage2.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/ProfileImage2.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:41	384407/384407	---M--	200	added ('OK')	image/jpeg	etag:%22b04f3112d2d8697159f9f01bebba1939%22	https://yt-portfolio-website-3.vercel.app/assets/img1.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/img1.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:41	406485/406485	---M--	200	added ('OK')	image/jpeg	etag:%22bec972cc97b46454f91a59979c773945%22	https://yt-portfolio-website-3.vercel.app/assets/img2.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/img2.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:42	350711/350711	---M--	200	added ('OK')	image/jpeg	etag:%222fed8fa56f725807dd48d19b8ae8492f%22	https://yt-portfolio-website-3.vercel.app/assets/img3.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/img3.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:42	256833/256833	---M--	200	added ('OK')	image/jpeg	etag:%2250b055cf660781c46d02e6fc938edc10%22	https://yt-portfolio-website-3.vercel.app/assets/img4.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/img4.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:43	342019/342019	---M--	200	added ('OK')	image/jpeg	etag:%22ac026bfc3e823367de704cc16f249254%22	https://yt-portfolio-website-3.vercel.app/assets/img5.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/img5.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:43	9843/9843	---MCZ	200	added ('OK')	application/javascript	etag:W/%222673-VtN6K93BTinJi+6SKQF+syb+CZQ%22	https://unpkg.com/typed.js@2.1.0/dist/typed.umd.js	C:/My%20Web%20Sites/nino/unpkg.com/typed.js@2.1.0/dist/typed.umd.js	(from https://yt-portfolio-website-3.vercel.app/)
11:20:43	810551/810551	---M--	200	added ('OK')	image/jpeg	etag:%22cbebabfd01ed27abe5111d7ccde847f5%22	https://yt-portfolio-website-3.vercel.app/assets/img6.jpg	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/assets/img6.jpg	(from https://yt-portfolio-website-3.vercel.app/)
11:20:43	554/554	---M--	200	added ('OK')	application/javascript	etag:%2286874bf0ab37b83f8d0c7d79ea92021d%22	https://yt-portfolio-website-3.vercel.app/script.js	C:/My%20Web%20Sites/nino/yt-portfolio-website-3.vercel.app/script.js	(from https://yt-portfolio-website-3.vercel.app/)
